,exchange,cal_date,is_open,pretrade_date
0,SSE,19901219,1,
1,SSE,19901220,1,19901219
2,SSE,19901221,1,19901220
3,SSE,19901222,0,19901221
4,SSE,19901223,0,19901221
5,SSE,19901224,1,19901221
6,SSE,19901225,1,19901224
7,SSE,19901226,1,19901225
8,SSE,19901227,1,19901226
9,SSE,19901228,1,19901227
10,SSE,19901229,0,19901228
11,SSE,19901230,0,19901228
12,SSE,19901231,1,19901228
13,SSE,19910101,0,19901231
14,SSE,19910102,1,19901231
15,SSE,19910103,1,19910102
16,SSE,19910104,1,19910103
17,SSE,19910105,0,19910104
18,SSE,19910106,0,19910104
19,SSE,19910107,1,19910104
20,SSE,19910108,1,19910107
21,SSE,19910109,1,19910108
22,SSE,19910110,1,19910109
23,SSE,19910111,1,19910110
24,SSE,19910112,0,19910111
25,SSE,19910113,0,19910111
26,SSE,19910114,1,19910111
27,SSE,19910115,1,19910114
28,SSE,19910116,1,19910115
29,SSE,19910117,1,19910116
30,SSE,19910118,1,19910117
31,SSE,19910119,0,19910118
32,SSE,19910120,0,19910118
33,SSE,19910121,1,19910118
34,SSE,19910122,1,19910121
35,SSE,19910123,1,19910122
36,SSE,19910124,1,19910123
37,SSE,19910125,1,19910124
38,SSE,19910126,0,19910125
39,SSE,19910127,0,19910125
40,SSE,19910128,1,19910125
41,SSE,19910129,1,19910128
42,SSE,19910130,1,19910129
43,SSE,19910131,1,19910130
44,SSE,19910201,1,19910131
45,SSE,19910202,0,19910201
46,SSE,19910203,0,19910201
47,SSE,19910204,1,19910201
48,SSE,19910205,1,19910204
49,SSE,19910206,1,19910205
50,SSE,19910207,1,19910206
51,SSE,19910208,1,19910207
52,SSE,19910209,0,19910208
53,SSE,19910210,0,19910208
54,SSE,19910211,1,19910208
55,SSE,19910212,1,19910211
56,SSE,19910213,1,19910212
57,SSE,19910214,1,19910213
58,SSE,19910215,0,19910214
59,SSE,19910216,0,19910214
60,SSE,19910217,0,19910214
61,SSE,19910218,0,19910214
62,SSE,19910219,1,19910214
63,SSE,19910220,1,19910219
64,SSE,19910221,1,19910220
65,SSE,19910222,1,19910221
66,SSE,19910223,0,19910222
67,SSE,19910224,0,19910222
68,SSE,19910225,1,19910222
69,SSE,19910226,1,19910225
70,SSE,19910227,1,19910226
71,SSE,19910228,1,19910227
72,SSE,19910301,1,19910228
73,SSE,19910302,0,19910301
74,SSE,19910303,0,19910301
75,SSE,19910304,1,19910301
76,SSE,19910305,1,19910304
77,SSE,19910306,1,19910305
78,SSE,19910307,1,19910306
79,SSE,19910308,1,19910307
80,SSE,19910309,0,19910308
81,SSE,19910310,0,19910308
82,SSE,19910311,1,19910308
83,SSE,19910312,1,19910311
84,SSE,19910313,1,19910312
85,SSE,19910314,1,19910313
86,SSE,19910315,1,19910314
87,SSE,19910316,0,19910315
88,SSE,19910317,0,19910315
89,SSE,19910318,1,19910315
90,SSE,19910319,1,19910318
91,SSE,19910320,1,19910319
92,SSE,19910321,1,19910320
93,SSE,19910322,1,19910321
94,SSE,19910323,0,19910322
95,SSE,19910324,0,19910322
96,SSE,19910325,1,19910322
97,SSE,19910326,1,19910325
98,SSE,19910327,1,19910326
99,SSE,19910328,1,19910327
100,SSE,19910329,1,19910328
101,SSE,19910330,0,19910329
102,SSE,19910331,0,19910329
103,SSE,19910401,1,19910329
104,SSE,19910402,1,19910401
105,SSE,19910403,1,19910402
106,SSE,19910404,1,19910403
107,SSE,19910405,1,19910404
108,SSE,19910406,0,19910405
109,SSE,19910407,0,19910405
110,SSE,19910408,1,19910405
111,SSE,19910409,1,19910408
112,SSE,19910410,1,19910409
113,SSE,19910411,1,19910410
114,SSE,19910412,1,19910411
115,SSE,19910413,0,19910412
116,SSE,19910414,0,19910412
117,SSE,19910415,1,19910412
118,SSE,19910416,1,19910415
119,SSE,19910417,1,19910416
120,SSE,19910418,1,19910417
121,SSE,19910419,1,19910418
122,SSE,19910420,0,19910419
123,SSE,19910421,0,19910419
124,SSE,19910422,1,19910419
125,SSE,19910423,1,19910422
126,SSE,19910424,1,19910423
127,SSE,19910425,1,19910424
128,SSE,19910426,1,19910425
129,SSE,19910427,0,19910426
130,SSE,19910428,0,19910426
131,SSE,19910429,1,19910426
132,SSE,19910430,1,19910429
133,SSE,19910501,0,19910430
134,SSE,19910502,1,19910430
135,SSE,19910503,1,19910502
136,SSE,19910504,0,19910503
137,SSE,19910505,0,19910503
138,SSE,19910506,1,19910503
139,SSE,19910507,1,19910506
140,SSE,19910508,1,19910507
141,SSE,19910509,1,19910508
142,SSE,19910510,1,19910509
143,SSE,19910511,0,19910510
144,SSE,19910512,0,19910510
145,SSE,19910513,1,19910510
146,SSE,19910514,1,19910513
147,SSE,19910515,1,19910514
148,SSE,19910516,1,19910515
149,SSE,19910517,1,19910516
150,SSE,19910518,0,19910517
151,SSE,19910519,0,19910517
152,SSE,19910520,1,19910517
153,SSE,19910521,1,19910520
154,SSE,19910522,1,19910521
155,SSE,19910523,1,19910522
156,SSE,19910524,1,19910523
157,SSE,19910525,0,19910524
158,SSE,19910526,0,19910524
159,SSE,19910527,1,19910524
160,SSE,19910528,1,19910527
161,SSE,19910529,1,19910528
162,SSE,19910530,1,19910529
163,SSE,19910531,1,19910530
164,SSE,19910601,0,19910531
165,SSE,19910602,0,19910531
166,SSE,19910603,1,19910531
