rise,down,freq,take_profit_long,take_profit_short,total_return,yearly_vol,maxdrawdown,sharpe,hold_time,ma_window,start_date,end_date
0.05,-0.075,15.0,10,0,0.3784017902185642,0.7846744756809617,0.530757964393713,0.6978486070096223,0.6910388127853881,200,2021-01-01,2021-12-31
0.05,-0.075,15.0,10,0,0.3544604388068356,0.7938490533859175,0.7537333256024281,0.5967526797431119,0.7482305936073059,300,2021-01-01,2021-12-31
0.045,-0.075,15.0,10,0,0.31518305072921227,0.7912701547731986,0.5307579643937124,0.5695239818109131,0.6994006849315069,200,2021-01-01,2021-12-31
0.045,-0.075,15.0,10,0,0.2912416993174829,0.800369076251273,0.7537333256024268,0.48095145580371834,0.7565924657534246,300,2021-01-01,2021-12-31
0.035,-0.075,15.0,10,0,0.26068110123919497,0.7641807947127108,0.4029409606973583,0.4988946401020321,0.6837614155251142,200,2021-01-01,2021-12-31
0.04,-0.075,15.0,10,0,0.24424731548983955,0.7642828962903486,0.4029409606973583,0.4674005243941137,0.6837328767123287,200,2021-01-01,2021-12-31
0.035,-0.075,15.0,10,0,0.23759011346852973,0.7814752419871936,0.6012533731856802,0.4083067071379203,0.7446061643835616,300,2021-01-01,2021-12-31
0.04,-0.075,15.0,10,0,0.2216075355063107,0.7816387998202747,0.6172359511479001,0.3807458184747468,0.7446347031963471,300,2021-01-01,2021-12-31
0.025,-0.075,15.0,10,0,0.21691102542548357,0.7706382401097471,0.5765769726970331,0.4097501103196286,0.6869292237442922,200,2021-01-01,2021-12-31
0.05,-0.08,15.0,10,0,0.2085421807532423,0.7738003663569151,0.6866342469630841,0.4023268164113166,0.6698630136986301,200,2021-01-01,2021-12-31
0.03,-0.075,15.0,10,0,0.19307866147768118,0.7690730683405773,0.5600185704007484,0.3682261471295543,0.6817922374429224,200,2021-01-01,2021-12-31
0.055,-0.075,15.0,10,0,0.182002855328698,0.7672425978277707,0.5616985856107035,0.3388811827929325,0.7,200,2021-01-01,2021-12-31
0.025,-0.075,15.0,10,0,0.1444769042570215,0.7645575540571043,0.7945703795433003,0.269043857253338,0.7023687214611872,300,2021-01-01,2021-12-31
0.03,-0.075,15.0,10,0,0.13821537634059608,0.7681404481707538,0.7174101702993778,0.2519047317610416,0.7142979452054794,300,2021-01-01,2021-12-31
0.05,-0.07,15.0,10,0,0.12386661172215895,0.7840682772361405,0.6094776067505031,0.23246113850277916,0.6795947488584475,200,2021-01-01,2021-12-31
0.05,-0.08,15.0,10,0,0.11319348113945372,0.7887982029760956,0.8360816601273791,0.19332852907899326,0.7422659817351598,300,2021-01-01,2021-12-31
0.055,-0.075,15.0,10,0,0.11250217470025707,0.7757168571901298,0.7916625123427496,0.1917461926406833,0.7563641552511415,300,2021-01-01,2021-12-31
0.045,-0.08,15.0,10,0,0.0904677243499619,0.7831388828534263,0.6595550530706991,0.16905982334368072,0.6833047945205479,200,2021-01-01,2021-12-31
0.025,-0.08,15.0,10,0,0.08546072265698187,0.7682029630818932,0.6528525605854131,0.16482517113759187,0.6749429223744292,200,2021-01-01,2021-12-31
0.01,-0.07,15.0,10,0,0.08241487192147283,0.7410249938777917,0.8309475919408069,0.16530467180122954,0.672802511415525,300,2021-01-01,2021-12-31
0.045,-0.07,15.0,10,0,0.06064787223280843,0.7906684323613891,0.6094776067505031,0.11149621234420454,0.6879566210045662,200,2021-01-01,2021-12-31
0.055,-0.08,15.0,10,0,0.05921364380407604,0.7550297171572387,0.6958541926447054,0.1156725318009158,0.6779965753424657,200,2021-01-01,2021-12-31
0.01,-0.065,15.0,10,0,0.050084667681610254,0.7142145091307862,0.7940522429809129,0.10715618198333442,0.6544235159817351,300,2021-01-01,2021-12-31
0.03,-0.08,15.0,10,0,0.04422650224219981,0.7638394712445059,0.6212616125573098,0.08755124630081244,0.6613299086757991,200,2021-01-01,2021-12-31
0.035,-0.08,15.0,10,0,0.036749899748689675,0.7557333756236947,0.5055138229829279,0.07283306795575262,0.6676655251141552,200,2021-01-01,2021-12-31
0.035,-0.07,15.0,10,0,0.03647054000029495,0.7625615911166328,0.41229885619298506,0.0712000431847865,0.6717180365296803,200,2021-01-01,2021-12-31
0.05,-0.07,15.0,10,0,0.034662988674750386,0.7976301429527588,0.8324529679592181,0.057647161766799064,0.7538527397260274,300,2021-01-01,2021-12-31
0.05,-0.06,15.0,10,0,0.029797922616089396,0.7855452217724133,0.7709294334572017,0.05510634295481015,0.6883561643835616,200,2021-01-01,2021-12-31
0.04,-0.08,15.0,10,0,0.02031611399933525,0.7558364793607925,0.5219476087322824,0.04025987335026678,0.6676369863013698,200,2021-01-01,2021-12-31
0.06,-0.075,15.0,10,0,0.017943813736620035,0.7827992526803675,0.7257576272027821,0.03179765561233468,0.720890410958904,200,2021-01-01,2021-12-31
0.02,-0.075,15.0,10,0,0.01484533492191445,0.7579189525235809,0.7770248745331719,0.029514379843224286,0.6636415525114155,200,2021-01-01,2021-12-31
0.04,-0.07,15.0,10,0,-0.010287863006562625,0.7636592349063587,0.4603635953003236,-0.020038706301951186,0.6722888127853881,200,2021-01-01,2021-12-31
0.045,-0.08,15.0,10,0,-0.015234972276669983,0.7929166526112356,0.8360816601273777,-0.025677074403170515,0.7482876712328766,300,2021-01-01,2021-12-31
0.045,-0.07,15.0,10,0,-0.028555750814601523,0.8041187907408226,0.8324529679592181,-0.046590363901204905,0.7622146118721461,300,2021-01-01,2021-12-31
0.075,-0.01,15.0,10,0,-0.03302205883337664,0.7727328511604131,0.7359724190936997,-0.062189699515364676,0.6871575342465753,200,2021-01-01,2021-12-31
0.055,-0.08,15.0,10,0,-0.036135055809707536,0.7703925357401414,0.8453016058089957,-0.06250634467320583,0.7503995433789954,300,2021-01-01,2021-12-31
0.035,-0.07,15.0,10,0,-0.047154633892515445,0.787322972721924,0.6449203127714348,-0.07976846047960283,0.7508276255707762,300,2021-01-01,2021-12-31
0.01,-0.07,15.0,10,0,-0.04917679199934989,0.7436099761206698,0.906532948186956,-0.10122676251769257,0.653310502283105,200,2021-01-01,2021-12-31
0.075,-0.01,15.0,10,0,-0.051169005518191826,0.8061186874606643,0.7535141014900737,-0.08219175305768242,0.7722888127853881,300,2021-01-01,2021-12-31
0.055,-0.07,15.0,10,0,-0.06331237748608266,0.7627909947138628,0.6311982822858734,-0.12224594596941969,0.6789668949771689,200,2021-01-01,2021-12-31
0.035,-0.08,15.0,10,0,-0.0685096085989882,0.7738248660101823,0.7234643590907648,-0.12024117089624681,0.7363013698630136,300,2021-01-01,2021-12-31
0.065,-0.075,15.0,10,0,-0.08126984994869943,0.7866326917822569,0.7634721577674266,-0.1418148747270445,0.7285102739726027,200,2021-01-01,2021-12-31
0.05,-0.065,15.0,10,0,-0.08348185784821545,0.7900032275679969,0.8168260763208783,-0.15371228046432134,0.6874714611872146,200,2021-01-01,2021-12-31
0.04,-0.08,15.0,10,0,-0.0840850111991014,0.773981560190405,0.7390397616908779,-0.14754195412533463,0.7363299086757991,300,2021-01-01,2021-12-31
0.065,-0.03,15.0,10,0,-0.09264133412112134,0.761410112669605,0.6223591134896103,-0.1688987732360729,0.7203767123287671,300,2021-01-01,2021-12-31
0.035,-0.06,15.0,10,0,-0.09765934061096683,0.7334131617380261,0.5479894856211942,-0.20574269991385874,0.6472031963470319,200,2021-01-01,2021-12-31
0.04,-0.07,15.0,10,0,-0.09818991462577216,0.7854771248735506,0.6959555935046908,-0.16661855806520595,0.7502568493150684,300,2021-01-01,2021-12-31
0.06,-0.08,15.0,10,0,-0.10484539778800098,0.770832141275211,0.8599132342367819,-0.19461781975151132,0.6988869863013698,200,2021-01-01,2021-12-31
0.07,-0.075,15.0,10,0,-0.1059714433231911,0.8011302237455061,0.8623617140366084,-0.17760665909270837,0.7447773972602739,200,2021-01-01,2021-12-31
0.03,-0.06,15.0,10,0,-0.1073048434681823,0.7563909862907437,0.6340854239644587,-0.19816318444228317,0.7158961187214612,300,2021-01-01,2021-12-31
0.045,-0.085,15.0,10,0,-0.10885257861024238,0.773935329043184,0.7896126176295811,-0.21166085998884662,0.6644977168949772,200,2021-01-01,2021-12-31
0.07,-0.025,15.0,10,0,-0.11326052610051514,0.7636316918947379,0.8623196801294226,-0.20339198242488124,0.7292237442922375,300,2021-01-01,2021-12-31
0.05,-0.085,15.0,10,0,-0.11408776524582084,0.7662220041214747,0.8246263212928046,-0.22854971660014634,0.6514840182648401,200,2021-01-01,2021-12-31
0.01,-0.075,15.0,10,0,-0.11838632958083554,0.7433232145139373,0.9894461223933159,-0.24452047282848544,0.6513413242009132,200,2021-01-01,2021-12-31
0.07,-0.08,15.0,10,0,-0.1199260699716423,0.7958421508144617,0.8876827361944388,-0.20469083320848097,0.7361872146118721,200,2021-01-01,2021-12-31
0.06,-0.075,15.0,10,0,-0.12642162853516883,0.779286721016489,1.0256840038998796,-0.21259010224514327,0.7630993150684932,300,2021-01-01,2021-12-31
0.025,-0.06,15.0,10,0,-0.12967723429321462,0.7452511669432113,0.693614823868542,-0.2506423592469984,0.6942351598173516,300,2021-01-01,2021-12-31
0.01,-0.06,15.0,10,0,-0.13258634644282735,0.6869905417360713,0.6434974017428061,-0.30806194205267295,0.6264840182648401,300,2021-01-01,2021-12-31
0.035,-0.085,15.0,10,0,-0.1336057173269701,0.7446056125579987,0.6066067016572637,-0.2792113190642859,0.6426369863013699,200,2021-01-01,2021-12-31
0.07,-0.025,15.0,10,0,-0.13459286297370152,0.7569212819340985,0.8842572812910503,-0.26140883177960456,0.680222602739726,200,2021-01-01,2021-12-31
0.075,-0.08,15.0,10,0,-0.13724993333044078,0.8014024257490352,0.8876827361944383,-0.22885466731142953,0.7483447488584475,200,2021-01-01,2021-12-31
0.02,-0.075,15.0,10,0,-0.14344440614822374,0.7431817661026783,0.9788995098112503,-0.2863339044567181,0.6740867579908676,300,2021-01-01,2021-12-31
0.05,-0.085,15.0,10,0,-0.1439370979186331,0.7906033427127687,0.9269410721460677,-0.24396251864836638,0.7462614155251142,300,2021-01-01,2021-12-31
0.06,-0.03,15.0,10,0,-0.14598133483003223,0.7596567932865446,0.643408185585857,-0.26088913780589323,0.7365867579908676,300,2021-01-01,2021-12-31
0.01,-0.035,15.0,10,0,-0.15053570149679127,0.6651879176566217,0.6386402605614996,-0.3685853688720224,0.6139840182648402,300,2021-01-01,2021-12-31
0.02,-0.08,15.0,10,0,-0.15192125329413653,0.757527400657512,0.8560585946385505,-0.3075509606779582,0.6520833333333333,200,2021-01-01,2021-12-31
0.06,-0.07,15.0,10,0,-0.15376351821070205,0.7837854027479788,0.7952573238779523,-0.2736423493951958,0.7169235159817351,200,2021-01-01,2021-12-31
0.065,-0.025,15.0,10,0,-0.15429455746514967,0.7485338631789069,0.7709648225551399,-0.28485412260743825,0.7236301369863013,300,2021-01-01,2021-12-31
0.05,-0.06,15.0,10,0,-0.15486429800485568,0.811397514892226,1.0458903168677756,-0.25137290796225253,0.7592751141552511,300,2021-01-01,2021-12-31
0.055,-0.06,15.0,10,0,-0.15738106659215473,0.7643083989232744,0.7926501089925744,-0.29941044702561387,0.6877283105022831,200,2021-01-01,2021-12-31
0.025,-0.065,15.0,10,0,-0.16018060002193346,0.7557579584361765,0.6547082380529425,-0.29505845834701305,0.7183219178082192,300,2021-01-01,2021-12-31
0.025,-0.08,15.0,10,0,-0.1603060499556983,0.7701560795998075,1.0428246157191992,-0.29641094959347014,0.7022260273972603,300,2021-01-01,2021-12-31
0.045,-0.085,15.0,10,0,-0.1643869800042775,0.7859578618825219,0.9159709294536604,-0.28603503115989143,0.7312214611872145,300,2021-01-01,2021-12-31
0.03,-0.065,15.0,10,0,-0.1674969519484504,0.7635231417740805,0.6205120908221459,-0.29769788102478556,0.7369006849315068,300,2021-01-01,2021-12-31
0.065,-0.07,15.0,10,0,-0.17131405393763013,0.7861264548799526,0.7513087264842047,-0.3021038998299228,0.7213470319634703,200,2021-01-01,2021-12-31
0.025,-0.065,15.0,10,0,-0.17182242425755573,0.7463625329995605,0.6321508024632824,-0.34747648673643733,0.6625285388127854,200,2021-01-01,2021-12-31
0.015,-0.075,15.0,10,0,-0.17355608860273541,0.7407190722256091,0.977824456681939,-0.3605523421136548,0.649857305936073,200,2021-01-01,2021-12-31
0.065,-0.03,15.0,10,0,-0.18029012109034973,0.7593740314427008,0.7059069318805213,-0.34129950797818465,0.6956335616438356,200,2021-01-01,2021-12-31
0.075,-0.075,15.0,10,0,-0.1832976876915709,0.8066034637340886,0.8623617140366076,-0.3002191257418354,0.7569349315068493,200,2021-01-01,2021-12-31
0.07,-0.01,15.0,10,0,-0.18395623253589846,0.7890033831344576,0.9739533567918807,-0.3079258287980082,0.7571632420091324,300,2021-01-01,2021-12-31
0.03,-0.03,15.0,10,0,-0.18706466674837705,0.6966434727359502,0.5650304959953568,-0.4182167062679311,0.6420662100456621,300,2021-01-01,2021-12-31
