rise,down,freq,total_return,yearly_vol,maxdrawdown,sharpe,hold_time,start_date,end_date
0.06,-0.06,10.0,0.6803694315644987,0.42718291394257485,0.21245757066606968,7.523972853830674,0.21168188736681887,2022-01-01,2022-07-31
0.05,-0.09,3.0,0.6546725092636104,0.41741262366210685,0.21455317064398333,9.35246419246352,0.16769977168949773,2022-01-01,2022-07-31
0.06,-0.06,20.0,0.6425350671632707,0.4182485577945086,0.22649429748368816,7.006715594565112,0.21925418569254185,2022-01-01,2022-07-31
0.05,-0.06,5.0,0.6386540828786478,0.4565728063787897,0.18978572791702303,6.626193750280537,0.21110159817351595,2022-01-01,2022-07-31
0.06,-0.09,1.0,0.638188820944168,0.41118601684754025,0.17363645639286196,9.496264994247088,0.1634398782343988,2022-01-01,2022-07-31
0.06,-0.06,25.0,0.6379034534529956,0.4172065183925913,0.20051549004499636,7.228564933017628,0.2115201674277017,2022-01-01,2022-07-31
0.06,-0.07,20.0,0.6364557046308011,0.4271697903088292,0.1864230653934842,6.02763570217449,0.24718417047184169,2022-01-01,2022-07-31
0.05,-0.06,10.0,0.6340152654532223,0.447928308183649,0.20317029832564254,6.733232140321443,0.21021689497716894,2022-01-01,2022-07-31
0.06,-0.09,2.0,0.6306530215531251,0.41518918631627,0.1729354478095223,9.26969673686806,0.16386225266362253,2022-01-01,2022-07-31
0.06,-0.07,25.0,0.6237672638435504,0.4273716841436941,0.1819016760071165,5.899909208638609,0.24738394216133944,2022-01-01,2022-07-31
0.06,-0.06,5.0,0.6126604479049303,0.447465603359021,0.21349380098903253,6.066259905461412,0.22570395738203955,2022-01-01,2022-07-31
0.06,-0.09,3.0,0.6012070943451243,0.41181763951688916,0.17905924079962765,8.869582469229039,0.1645947488584475,2022-01-01,2022-07-31
0.05,-0.07,60.0,0.5986983214432652,0.4270216784199565,0.1861095686697607,5.631272685757039,0.24897260273972602,2022-01-01,2022-07-31
0.06,-0.07,30.0,0.5933838788271091,0.4421161296639208,0.1763544956876959,5.139754637538477,0.2611301369863014,2022-01-01,2022-07-31
0.06,-0.07,10.0,0.589728541942465,0.44368990013805953,0.22392937131159713,5.751206079489822,0.23110730593607304,2022-01-01,2022-07-31
0.06,-0.06,30.0,0.5862305147664858,0.4350110433984408,0.22897613296507088,5.782596119214454,0.23304794520547945,2022-01-01,2022-07-31
0.04,-0.08,120.0,0.5848677172269994,0.4407440210888843,0.21044681275802257,5.076213089466931,0.2614155251141552,2022-01-01,2022-07-31
0.05,-0.07,20.0,0.5772641768890798,0.43880968246523366,0.24561459313520484,5.032305860971122,0.2614155251141552,2022-01-01,2022-07-31
0.06,-0.07,1.0,0.5733300558867384,0.4435004066169641,0.22954185467683713,5.655643563731465,0.22857496194824964,2022-01-01,2022-07-31
0.07,-0.07,1.0,0.5732457760084412,0.4493991350772713,0.2295418546768373,5.428187410027599,0.23499238964992392,2022-01-01,2022-07-31
